name1,name2,is_match,cosine_sim,sbert_sim,jaro_sim,levenshtein,first_letter_match,len_diff,soundex_match,metaphone_match,token_set_ratio,lcs,jaccard,ngram_overlap,predicted_match
sameer mohamed,mohamad sameer,1,0.767397712,0.66622734,0.571428571,11,0,0,0,0,0.93,6,0.333333333,0.4375,1
david hemalatha soloman,hemalatha s david,1,0.761354353,0.74580854,0.667884545,12,0,6,0,0,0.94,11,0.5,0.5,1
niaz ahmed mohamed,m a mohamed niaz,1,0.871532904,0.88120425,0.694444444,12,0,2,0,0,0.88,8,0.4,0.45,1
nagarajan bose,nagarajan r b,1,0.692868713,0.7954495,0.926373626,4,1,1,1,0,0.82,10,0.25,0.533333333,1
om prakash manni,ohm prakash m,1,0.513598947,0.63590693,0.901923077,5,1,3,1,0,0.83,11,0.2,0.5625,1
prema subramanian,p r subramanian,1,0.783370372,0.7007611,0.819915966,4,1,2,0,0,0.88,12,0.25,0.555555556,1
mahalakshmi suban,s mahalakshmi,1,0.808408089,0.76858246,0.709653092,8,0,4,0,0,0.92,11,0.333333333,0.529411765,1
velmurugan subbu,s velmurugan,1,0.806572887,0.7278346,0.819444444,8,0,4,0,0,0.91,10,0.333333333,0.5,1
sajith kesavan,s kesavan,1,0.72739385,0.7389649,0.792857143,5,1,5,0,0,0.88,8,0.333333333,0.461538462,1
divya kannan,d kannan,1,0.647904326,0.764423,0.825,4,1,4,0,0,0.86,7,0.333333333,0.454545455,1
prabhu nagarajan,nagarajan p,1,0.74230402,0.845126,0.711363636,9,0,5,0,0,0.9,9,0.333333333,0.4375,1
mohamed rafi,r mohammed rafic,1,0.605013824,0.82812804,0.805555556,4,0,4,0,0,0.86,8,0,0.6,1
deena dayalan,s dheena dayaalan,1,0.553471148,0.59779006,0.844645551,4,0,4,0,0,0.87,9,0,0.529411765,1
siva rajan,s rajan,1,0.656716334,0.7620103,0.824285714,3,1,3,0,0,0.83,6,0.333333333,0.444444444,1
santhanam jambunathan,s jambunathan,1,0.832448223,0.7610359,0.747252747,8,1,8,0,0,0.92,12,0.333333333,0.555555556,1
meena swamy,s meena,1,0.680992656,0.6800063,0.68975469,8,0,4,0,0,0.83,5,0.333333333,0.272727273,1
vighnesh,c vignesh,1,0.393374819,0.6980533,0.884259259,3,0,1,0,0,0.82,4,0,0.3,1
sundharavel,k sundaravel,1,0.721941835,0.6705565,0.914141414,3,0,1,0,0,0.87,6,0,0.461538462,1
sugumari pitchai,p sugumari,1,0.64874601,0.68040526,0.672685185,10,0,6,0,0,0.89,8,0.333333333,0.375,1
sathyan gunaseelan,s gunaseelan,1,0.818951558,0.6615998,0.775,6,1,6,0,0,0.91,11,0.333333333,0.529411765,1
